time,current[mA],RANGE1[V],RANGE2[V],RANGE3[V],RANGE4[V],24bit[bin]
10:25:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:25:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732880
10:25:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732864
10:25:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732867
10:25:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:25:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:26:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732857
10:26:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:26:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732836
10:26:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732865
10:26:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732844
10:26:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732859
10:27:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732865
10:27:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:27:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732848
10:27:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732874
10:27:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732878
10:27:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732884
10:28:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732872
10:28:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732869
10:28:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732844
10:28:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:28:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:28:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732864
10:29:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732886
10:29:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732877
10:29:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:29:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732858
10:29:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:29:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732864
10:30:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732868
10:30:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732861
10:30:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:30:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732837
10:30:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732871
10:30:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732872
10:31:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:31:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732869
10:31:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732840
10:31:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:31:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732838
10:31:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:32:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732848
10:32:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:32:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732850
10:32:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732808
10:32:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
10:32:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732838
10:33:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:33:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
10:33:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
10:33:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:33:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732874
10:33:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:34:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732877
10:34:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:34:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732859
10:34:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:34:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
10:34:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:35:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732847
10:35:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:35:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732834
10:35:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732876
10:35:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732854
10:35:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732891
10:36:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732857
10:36:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
10:36:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732892
10:36:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732890
10:36:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
10:36:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732861
10:37:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732875
10:37:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732880
10:37:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732869
10:37:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732858
10:37:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732838
10:37:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
10:38:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
10:38:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732891
10:38:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732871
10:38:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732865
10:38:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732878
10:38:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:39:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:39:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
10:39:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732877
10:39:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732839
10:39:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732823
10:39:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
10:40:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732844
10:40:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732868
10:40:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732868
10:40:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:40:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732858
10:40:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:41:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:41:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732859
10:41:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:41:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732864
10:41:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732876
10:41:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732845
10:42:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732868
10:42:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732847
10:42:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:42:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:42:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732835
10:42:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:43:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732838
10:43:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732848
10:43:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732838
10:43:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732851
10:43:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
10:43:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732835
10:44:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732868
10:44:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732832
10:44:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732874
10:44:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732849
10:44:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732845
